filename,D_u (mm^2/s),D_v (mm^2/s),F (1/s),k (1/s),delta_t (s),delta_x (mm),iterations,image_saved
000390.png,0.1,0.08214,0.065,0.07,1.0,1.0,10000,0
000391.png,0.1,0.08214,0.07,0.07,1.0,1.0,10000,0
000392.png,0.1,0.09286,0.02,0.03,1.0,1.0,10000,1
000393.png,0.1,0.09286,0.02,0.03286,1.0,1.0,10000,1
000394.png,0.1,0.09286,0.02,0.03571,1.0,1.0,10000,1
000395.png,0.1,0.09286,0.02,0.03857,1.0,1.0,10000,1
000396.png,0.1,0.09286,0.02,0.04143,1.0,1.0,10000,1
000397.png,0.1,0.09286,0.02,0.04429,1.0,1.0,10000,1
000398.png,0.1,0.09286,0.02,0.04714,1.0,1.0,10000,0
000399.png,0.1,0.09286,0.02,0.05,1.0,1.0,10000,0
000400.png,0.1,0.09286,0.02,0.05286,1.0,1.0,10000,0
000401.png,0.1,0.09286,0.02,0.05571,1.0,1.0,10000,0
000402.png,0.1,0.09286,0.02,0.05857,1.0,1.0,10000,0
000403.png,0.1,0.09286,0.02,0.06143,1.0,1.0,10000,0
000404.png,0.1,0.09286,0.02,0.06429,1.0,1.0,10000,0
000405.png,0.1,0.09286,0.02,0.06714,1.0,1.0,10000,0
000406.png,0.1,0.09286,0.02,0.07,1.0,1.0,10000,0
000407.png,0.1,0.09286,0.025,0.03,1.0,1.0,10000,1
000408.png,0.1,0.09286,0.025,0.03286,1.0,1.0,10000,1
000409.png,0.1,0.09286,0.025,0.03571,1.0,1.0,10000,1
000410.png,0.1,0.09286,0.025,0.03857,1.0,1.0,10000,1
000411.png,0.1,0.09286,0.025,0.04143,1.0,1.0,10000,1
000412.png,0.1,0.09286,0.025,0.04429,1.0,1.0,10000,1
000413.png,0.1,0.09286,0.025,0.04714,1.0,1.0,10000,1
000414.png,0.1,0.09286,0.025,0.05,1.0,1.0,10000,1
000415.png,0.1,0.09286,0.025,0.05286,1.0,1.0,10000,1
000416.png,0.1,0.09286,0.025,0.05571,1.0,1.0,10000,0
000417.png,0.1,0.09286,0.025,0.05857,1.0,1.0,10000,0
000418.png,0.1,0.09286,0.025,0.06143,1.0,1.0,10000,0
000419.png,0.1,0.09286,0.025,0.06429,1.0,1.0,10000,0
000420.png,0.1,0.09286,0.025,0.06714,1.0,1.0,10000,0
000421.png,0.1,0.09286,0.025,0.07,1.0,1.0,10000,0
000422.png,0.1,0.09286,0.03,0.03286,1.0,1.0,10000,1
000423.png,0.1,0.09286,0.03,0.03571,1.0,1.0,10000,1
000424.png,0.1,0.09286,0.03,0.03857,1.0,1.0,10000,1
000425.png,0.1,0.09286,0.03,0.04143,1.0,1.0,10000,1
000426.png,0.1,0.09286,0.03,0.04429,1.0,1.0,10000,1
000427.png,0.1,0.09286,0.03,0.04714,1.0,1.0,10000,1
000428.png,0.1,0.09286,0.03,0.05,1.0,1.0,10000,1
000429.png,0.1,0.09286,0.03,0.05286,1.0,1.0,10000,1
000430.png,0.1,0.09286,0.03,0.05571,1.0,1.0,10000,0
000431.png,0.1,0.09286,0.03,0.05857,1.0,1.0,10000,0
000432.png,0.1,0.09286,0.03,0.06143,1.0,1.0,10000,0
000433.png,0.1,0.09286,0.03,0.06429,1.0,1.0,10000,0
000434.png,0.1,0.09286,0.03,0.06714,1.0,1.0,10000,0
000435.png,0.1,0.09286,0.03,0.07,1.0,1.0,10000,0
000436.png,0.1,0.09286,0.035,0.03571,1.0,1.0,10000,1
000437.png,0.1,0.09286,0.035,0.03857,1.0,1.0,10000,1
000438.png,0.1,0.09286,0.035,0.04143,1.0,1.0,10000,1
000439.png,0.1,0.09286,0.035,0.04429,1.0,1.0,10000,1
000440.png,0.1,0.09286,0.035,0.04714,1.0,1.0,10000,1
000441.png,0.1,0.09286,0.035,0.05,1.0,1.0,10000,1
000442.png,0.1,0.09286,0.035,0.05286,1.0,1.0,10000,1
000443.png,0.1,0.09286,0.035,0.05571,1.0,1.0,10000,1
000444.png,0.1,0.09286,0.035,0.05857,1.0,1.0,10000,0
000445.png,0.1,0.09286,0.035,0.06143,1.0,1.0,10000,0
000446.png,0.1,0.09286,0.035,0.06429,1.0,1.0,10000,0
000447.png,0.1,0.09286,0.035,0.06714,1.0,1.0,10000,0
000448.png,0.1,0.09286,0.035,0.07,1.0,1.0,10000,0
000449.png,0.1,0.09286,0.04,0.04143,1.0,1.0,10000,1
000450.png,0.1,0.09286,0.04,0.04429,1.0,1.0,10000,1
000451.png,0.1,0.09286,0.04,0.04714,1.0,1.0,10000,1
000452.png,0.1,0.09286,0.04,0.05,1.0,1.0,10000,1
000453.png,0.1,0.09286,0.04,0.05286,1.0,1.0,10000,1
000454.png,0.1,0.09286,0.04,0.05571,1.0,1.0,10000,1
000455.png,0.1,0.09286,0.04,0.05857,1.0,1.0,10000,0
000456.png,0.1,0.09286,0.04,0.06143,1.0,1.0,10000,0
000457.png,0.1,0.09286,0.04,0.06429,1.0,1.0,10000,0
000458.png,0.1,0.09286,0.04,0.06714,1.0,1.0,10000,0
000459.png,0.1,0.09286,0.04,0.07,1.0,1.0,10000,0
000460.png,0.1,0.09286,0.045,0.04714,1.0,1.0,10000,1
000461.png,0.1,0.09286,0.045,0.05,1.0,1.0,10000,1
000462.png,0.1,0.09286,0.045,0.05286,1.0,1.0,10000,1
000463.png,0.1,0.09286,0.045,0.05571,1.0,1.0,10000,1
000464.png,0.1,0.09286,0.045,0.05857,1.0,1.0,10000,0
000465.png,0.1,0.09286,0.045,0.06143,1.0,1.0,10000,0
000466.png,0.1,0.09286,0.045,0.06429,1.0,1.0,10000,0
000467.png,0.1,0.09286,0.045,0.06714,1.0,1.0,10000,0
000468.png,0.1,0.09286,0.045,0.07,1.0,1.0,10000,0
000469.png,0.1,0.09286,0.05,0.05,1.0,1.0,10000,1
000470.png,0.1,0.09286,0.05,0.05286,1.0,1.0,10000,1
000471.png,0.1,0.09286,0.05,0.05571,1.0,1.0,10000,1
000472.png,0.1,0.09286,0.05,0.05857,1.0,1.0,10000,0
000473.png,0.1,0.09286,0.05,0.06143,1.0,1.0,10000,0
000474.png,0.1,0.09286,0.05,0.06429,1.0,1.0,10000,0
000475.png,0.1,0.09286,0.05,0.06714,1.0,1.0,10000,0
000476.png,0.1,0.09286,0.05,0.07,1.0,1.0,10000,0
000477.png,0.1,0.09286,0.055,0.05571,1.0,1.0,10000,1
000478.png,0.1,0.09286,0.055,0.05857,1.0,1.0,10000,0
000479.png,0.1,0.09286,0.055,0.06143,1.0,1.0,10000,0
000480.png,0.1,0.09286,0.055,0.06429,1.0,1.0,10000,0
000481.png,0.1,0.09286,0.055,0.06714,1.0,1.0,10000,0
000482.png,0.1,0.09286,0.055,0.07,1.0,1.0,10000,0
000483.png,0.1,0.09286,0.06,0.06143,1.0,1.0,10000,0
000484.png,0.1,0.09286,0.06,0.06429,1.0,1.0,10000,0
000485.png,0.1,0.09286,0.06,0.06714,1.0,1.0,10000,0
000486.png,0.1,0.09286,0.06,0.07,1.0,1.0,10000,0
000487.png,0.1,0.09286,0.065,0.06714,1.0,1.0,10000,0
000488.png,0.1,0.09286,0.065,0.07,1.0,1.0,10000,0
000489.png,0.1,0.09286,0.07,0.07,1.0,1.0,10000,0
000490.png,0.11071,0.05,0.02,0.03,1.0,1.0,10000,1
000491.png,0.11071,0.05,0.02,0.03286,1.0,1.0,10000,1
000492.png,0.11071,0.05,0.02,0.03571,1.0,1.0,10000,1
000493.png,0.11071,0.05,0.02,0.03857,1.0,1.0,10000,1
000494.png,0.11071,0.05,0.02,0.04143,1.0,1.0,10000,1
000495.png,0.11071,0.05,0.02,0.04429,1.0,1.0,10000,1
000496.png,0.11071,0.05,0.02,0.04714,1.0,1.0,10000,1
000497.png,0.11071,0.05,0.02,0.05,1.0,1.0,10000,1
000498.png,0.11071,0.05,0.02,0.05286,1.0,1.0,10000,1
000499.png,0.11071,0.05,0.02,0.05571,1.0,1.0,10000,1
000500.png,0.11071,0.05,0.02,0.05857,1.0,1.0,10000,1
000501.png,0.11071,0.05,0.02,0.06143,1.0,1.0,10000,1
000502.png,0.11071,0.05,0.02,0.06429,1.0,1.0,10000,0
000503.png,0.11071,0.05,0.02,0.06714,1.0,1.0,10000,0
000504.png,0.11071,0.05,0.02,0.07,1.0,1.0,10000,0
000505.png,0.11071,0.05,0.025,0.03,1.0,1.0,10000,1
000506.png,0.11071,0.05,0.025,0.03286,1.0,1.0,10000,1
000507.png,0.11071,0.05,0.025,0.03571,1.0,1.0,10000,1
000508.png,0.11071,0.05,0.025,0.03857,1.0,1.0,10000,1
000509.png,0.11071,0.05,0.025,0.04143,1.0,1.0,10000,1
000510.png,0.11071,0.05,0.025,0.04429,1.0,1.0,10000,1
000511.png,0.11071,0.05,0.025,0.04714,1.0,1.0,10000,1
000512.png,0.11071,0.05,0.025,0.05,1.0,1.0,10000,1
000513.png,0.11071,0.05,0.025,0.05286,1.0,1.0,10000,1
000514.png,0.11071,0.05,0.025,0.05571,1.0,1.0,10000,1
000515.png,0.11071,0.05,0.025,0.05857,1.0,1.0,10000,1
000516.png,0.11071,0.05,0.025,0.06143,1.0,1.0,10000,1
000517.png,0.11071,0.05,0.025,0.06429,1.0,1.0,10000,1
000518.png,0.11071,0.05,0.025,0.06714,1.0,1.0,10000,0
000519.png,0.11071,0.05,0.025,0.07,1.0,1.0,10000,0
000520.png,0.11071,0.05,0.03,0.03286,1.0,1.0,10000,1
000521.png,0.11071,0.05,0.03,0.03571,1.0,1.0,10000,1
000522.png,0.11071,0.05,0.03,0.03857,1.0,1.0,10000,1
000523.png,0.11071,0.05,0.03,0.04143,1.0,1.0,10000,1
000524.png,0.11071,0.05,0.03,0.04429,1.0,1.0,10000,1
000525.png,0.11071,0.05,0.03,0.04714,1.0,1.0,10000,1
000526.png,0.11071,0.05,0.03,0.05,1.0,1.0,10000,1
000527.png,0.11071,0.05,0.03,0.05286,1.0,1.0,10000,1
000528.png,0.11071,0.05,0.03,0.05571,1.0,1.0,10000,1
000529.png,0.11071,0.05,0.03,0.05857,1.0,1.0,10000,1
000530.png,0.11071,0.05,0.03,0.06143,1.0,1.0,10000,1
000531.png,0.11071,0.05,0.03,0.06429,1.0,1.0,10000,1
000532.png,0.11071,0.05,0.03,0.06714,1.0,1.0,10000,1
000533.png,0.11071,0.05,0.03,0.07,1.0,1.0,10000,0
000534.png,0.11071,0.05,0.035,0.03571,1.0,1.0,10000,1
000535.png,0.11071,0.05,0.035,0.03857,1.0,1.0,10000,1
000536.png,0.11071,0.05,0.035,0.04143,1.0,1.0,10000,1
000537.png,0.11071,0.05,0.035,0.04429,1.0,1.0,10000,1
000538.png,0.11071,0.05,0.035,0.04714,1.0,1.0,10000,1
000539.png,0.11071,0.05,0.035,0.05,1.0,1.0,10000,1
000540.png,0.11071,0.05,0.035,0.05286,1.0,1.0,10000,1
000541.png,0.11071,0.05,0.035,0.05571,1.0,1.0,10000,1
000542.png,0.11071,0.05,0.035,0.05857,1.0,1.0,10000,1
000543.png,0.11071,0.05,0.035,0.06143,1.0,1.0,10000,1
000544.png,0.11071,0.05,0.035,0.06429,1.0,1.0,10000,1
000545.png,0.11071,0.05,0.035,0.06714,1.0,1.0,10000,1
000546.png,0.11071,0.05,0.035,0.07,1.0,1.0,10000,0
000547.png,0.11071,0.05,0.04,0.04143,1.0,1.0,10000,1
000548.png,0.11071,0.05,0.04,0.04429,1.0,1.0,10000,1
000549.png,0.11071,0.05,0.04,0.04714,1.0,1.0,10000,1
000550.png,0.11071,0.05,0.04,0.05,1.0,1.0,10000,1
000551.png,0.11071,0.05,0.04,0.05286,1.0,1.0,10000,1
000552.png,0.11071,0.05,0.04,0.05571,1.0,1.0,10000,1
000553.png,0.11071,0.05,0.04,0.05857,1.0,1.0,10000,1
000554.png,0.11071,0.05,0.04,0.06143,1.0,1.0,10000,1
000555.png,0.11071,0.05,0.04,0.06429,1.0,1.0,10000,1
000556.png,0.11071,0.05,0.04,0.06714,1.0,1.0,10000,1
000557.png,0.11071,0.05,0.04,0.07,1.0,1.0,10000,0
000558.png,0.11071,0.05,0.045,0.04714,1.0,1.0,10000,1
000559.png,0.11071,0.05,0.045,0.05,1.0,1.0,10000,1
000560.png,0.11071,0.05,0.045,0.05286,1.0,1.0,10000,1
000561.png,0.11071,0.05,0.045,0.05571,1.0,1.0,10000,1
000562.png,0.11071,0.05,0.045,0.05857,1.0,1.0,10000,1
000563.png,0.11071,0.05,0.045,0.06143,1.0,1.0,10000,1
000564.png,0.11071,0.05,0.045,0.06429,1.0,1.0,10000,1
000565.png,0.11071,0.05,0.045,0.06714,1.0,1.0,10000,1
000566.png,0.11071,0.05,0.045,0.07,1.0,1.0,10000,1
000567.png,0.11071,0.05,0.05,0.05,1.0,1.0,10000,1
000568.png,0.11071,0.05,0.05,0.05286,1.0,1.0,10000,1
000569.png,0.11071,0.05,0.05,0.05571,1.0,1.0,10000,1
000570.png,0.11071,0.05,0.05,0.05857,1.0,1.0,10000,1
000571.png,0.11071,0.05,0.05,0.06143,1.0,1.0,10000,1
000572.png,0.11071,0.05,0.05,0.06429,1.0,1.0,10000,1
000573.png,0.11071,0.05,0.05,0.06714,1.0,1.0,10000,1
000574.png,0.11071,0.05,0.05,0.07,1.0,1.0,10000,0
000575.png,0.11071,0.05,0.055,0.05571,1.0,1.0,10000,1
000576.png,0.11071,0.05,0.055,0.05857,1.0,1.0,10000,1
000577.png,0.11071,0.05,0.055,0.06143,1.0,1.0,10000,1
000578.png,0.11071,0.05,0.055,0.06429,1.0,1.0,10000,1
000579.png,0.11071,0.05,0.055,0.06714,1.0,1.0,10000,1
000580.png,0.11071,0.05,0.055,0.07,1.0,1.0,10000,1
000581.png,0.11071,0.05,0.06,0.06143,1.0,1.0,10000,1
000582.png,0.11071,0.05,0.06,0.06429,1.0,1.0,10000,1
000583.png,0.11071,0.05,0.06,0.06714,1.0,1.0,10000,1
000584.png,0.11071,0.05,0.06,0.07,1.0,1.0,10000,0
000585.png,0.11071,0.05,0.065,0.06714,1.0,1.0,10000,1
000586.png,0.11071,0.05,0.065,0.07,1.0,1.0,10000,0
000587.png,0.11071,0.05,0.07,0.07,1.0,1.0,10000,0
000588.png,0.11071,0.06071,0.02,0.03,1.0,1.0,10000,1
000589.png,0.11071,0.06071,0.02,0.03286,1.0,1.0,10000,1
000590.png,0.11071,0.06071,0.02,0.03571,1.0,1.0,10000,1
000591.png,0.11071,0.06071,0.02,0.03857,1.0,1.0,10000,1
000592.png,0.11071,0.06071,0.02,0.04143,1.0,1.0,10000,1
000593.png,0.11071,0.06071,0.02,0.04429,1.0,1.0,10000,1
000594.png,0.11071,0.06071,0.02,0.04714,1.0,1.0,10000,1
000595.png,0.11071,0.06071,0.02,0.05,1.0,1.0,10000,1
000596.png,0.11071,0.06071,0.02,0.05286,1.0,1.0,10000,1
000597.png,0.11071,0.06071,0.02,0.05571,1.0,1.0,10000,1
000598.png,0.11071,0.06071,0.02,0.05857,1.0,1.0,10000,0
000599.png,0.11071,0.06071,0.02,0.06143,1.0,1.0,10000,0
000600.png,0.11071,0.06071,0.02,0.06429,1.0,1.0,10000,0
000601.png,0.11071,0.06071,0.02,0.06714,1.0,1.0,10000,0
000602.png,0.11071,0.06071,0.02,0.07,1.0,1.0,10000,0
000603.png,0.11071,0.06071,0.025,0.03,1.0,1.0,10000,1
000604.png,0.11071,0.06071,0.025,0.03286,1.0,1.0,10000,1
000605.png,0.11071,0.06071,0.025,0.03571,1.0,1.0,10000,1
000606.png,0.11071,0.06071,0.025,0.03857,1.0,1.0,10000,1
000607.png,0.11071,0.06071,0.025,0.04143,1.0,1.0,10000,1
000608.png,0.11071,0.06071,0.025,0.04429,1.0,1.0,10000,1
000609.png,0.11071,0.06071,0.025,0.04714,1.0,1.0,10000,1
000610.png,0.11071,0.06071,0.025,0.05,1.0,1.0,10000,1
000611.png,0.11071,0.06071,0.025,0.05286,1.0,1.0,10000,1
000612.png,0.11071,0.06071,0.025,0.05571,1.0,1.0,10000,1
000613.png,0.11071,0.06071,0.025,0.05857,1.0,1.0,10000,1
000614.png,0.11071,0.06071,0.025,0.06143,1.0,1.0,10000,0
000615.png,0.11071,0.06071,0.025,0.06429,1.0,1.0,10000,0
000616.png,0.11071,0.06071,0.025,0.06714,1.0,1.0,10000,0
000617.png,0.11071,0.06071,0.025,0.07,1.0,1.0,10000,0
000618.png,0.11071,0.06071,0.03,0.03286,1.0,1.0,10000,1
000619.png,0.11071,0.06071,0.03,0.03571,1.0,1.0,10000,1
000620.png,0.11071,0.06071,0.03,0.03857,1.0,1.0,10000,1
000621.png,0.11071,0.06071,0.03,0.04143,1.0,1.0,10000,1
000622.png,0.11071,0.06071,0.03,0.04429,1.0,1.0,10000,1
000623.png,0.11071,0.06071,0.03,0.04714,1.0,1.0,10000,1
000624.png,0.11071,0.06071,0.03,0.05,1.0,1.0,10000,1
000625.png,0.11071,0.06071,0.03,0.05286,1.0,1.0,10000,1
000626.png,0.11071,0.06071,0.03,0.05571,1.0,1.0,10000,1
000627.png,0.11071,0.06071,0.03,0.05857,1.0,1.0,10000,1
000628.png,0.11071,0.06071,0.03,0.06143,1.0,1.0,10000,1
000629.png,0.11071,0.06071,0.03,0.06429,1.0,1.0,10000,0
000630.png,0.11071,0.06071,0.03,0.06714,1.0,1.0,10000,0
000631.png,0.11071,0.06071,0.03,0.07,1.0,1.0,10000,0
000632.png,0.11071,0.06071,0.035,0.03571,1.0,1.0,10000,1
000633.png,0.11071,0.06071,0.035,0.03857,1.0,1.0,10000,1
000634.png,0.11071,0.06071,0.035,0.04143,1.0,1.0,10000,1
000635.png,0.11071,0.06071,0.035,0.04429,1.0,1.0,10000,1
000636.png,0.11071,0.06071,0.035,0.04714,1.0,1.0,10000,1
000637.png,0.11071,0.06071,0.035,0.05,1.0,1.0,10000,1
000638.png,0.11071,0.06071,0.035,0.05286,1.0,1.0,10000,1
000639.png,0.11071,0.06071,0.035,0.05571,1.0,1.0,10000,1
000640.png,0.11071,0.06071,0.035,0.05857,1.0,1.0,10000,1
000641.png,0.11071,0.06071,0.035,0.06143,1.0,1.0,10000,1
000642.png,0.11071,0.06071,0.035,0.06429,1.0,1.0,10000,0
000643.png,0.11071,0.06071,0.035,0.06714,1.0,1.0,10000,0
000644.png,0.11071,0.06071,0.035,0.07,1.0,1.0,10000,0
000645.png,0.11071,0.06071,0.04,0.04143,1.0,1.0,10000,1
000646.png,0.11071,0.06071,0.04,0.04429,1.0,1.0,10000,1
000647.png,0.11071,0.06071,0.04,0.04714,1.0,1.0,10000,1
000648.png,0.11071,0.06071,0.04,0.05,1.0,1.0,10000,1
000649.png,0.11071,0.06071,0.04,0.05286,1.0,1.0,10000,1
000650.png,0.11071,0.06071,0.04,0.05571,1.0,1.0,10000,1
000651.png,0.11071,0.06071,0.04,0.05857,1.0,1.0,10000,1
000652.png,0.11071,0.06071,0.04,0.06143,1.0,1.0,10000,1
000653.png,0.11071,0.06071,0.04,0.06429,1.0,1.0,10000,1
000654.png,0.11071,0.06071,0.04,0.06714,1.0,1.0,10000,0
000655.png,0.11071,0.06071,0.04,0.07,1.0,1.0,10000,0
000656.png,0.11071,0.06071,0.045,0.04714,1.0,1.0,10000,1
000657.png,0.11071,0.06071,0.045,0.05,1.0,1.0,10000,1
000658.png,0.11071,0.06071,0.045,0.05286,1.0,1.0,10000,1
000659.png,0.11071,0.06071,0.045,0.05571,1.0,1.0,10000,1
000660.png,0.11071,0.06071,0.045,0.05857,1.0,1.0,10000,1
000661.png,0.11071,0.06071,0.045,0.06143,1.0,1.0,10000,1
000662.png,0.11071,0.06071,0.045,0.06429,1.0,1.0,10000,1
000663.png,0.11071,0.06071,0.045,0.06714,1.0,1.0,10000,0
000664.png,0.11071,0.06071,0.045,0.07,1.0,1.0,10000,0
000665.png,0.11071,0.06071,0.05,0.05,1.0,1.0,10000,1
000666.png,0.11071,0.06071,0.05,0.05286,1.0,1.0,10000,1
000667.png,0.11071,0.06071,0.05,0.05571,1.0,1.0,10000,1
000668.png,0.11071,0.06071,0.05,0.05857,1.0,1.0,10000,1
000669.png,0.11071,0.06071,0.05,0.06143,1.0,1.0,10000,1
000670.png,0.11071,0.06071,0.05,0.06429,1.0,1.0,10000,1
000671.png,0.11071,0.06071,0.05,0.06714,1.0,1.0,10000,0
000672.png,0.11071,0.06071,0.05,0.07,1.0,1.0,10000,0
000673.png,0.11071,0.06071,0.055,0.05571,1.0,1.0,10000,1
000674.png,0.11071,0.06071,0.055,0.05857,1.0,1.0,10000,1
000675.png,0.11071,0.06071,0.055,0.06143,1.0,1.0,10000,1
000676.png,0.11071,0.06071,0.055,0.06429,1.0,1.0,10000,1
000677.png,0.11071,0.06071,0.055,0.06714,1.0,1.0,10000,0
000678.png,0.11071,0.06071,0.055,0.07,1.0,1.0,10000,0
000679.png,0.11071,0.06071,0.06,0.06143,1.0,1.0,10000,1
000680.png,0.11071,0.06071,0.06,0.06429,1.0,1.0,10000,1
000681.png,0.11071,0.06071,0.06,0.06714,1.0,1.0,10000,0
000682.png,0.11071,0.06071,0.06,0.07,1.0,1.0,10000,0
000683.png,0.11071,0.06071,0.065,0.06714,1.0,1.0,10000,0
000684.png,0.11071,0.06071,0.065,0.07,1.0,1.0,10000,0
000685.png,0.11071,0.06071,0.07,0.07,1.0,1.0,10000,0
000686.png,0.11071,0.07143,0.02,0.03,1.0,1.0,10000,1
000687.png,0.11071,0.07143,0.02,0.03286,1.0,1.0,10000,1
000688.png,0.11071,0.07143,0.02,0.03571,1.0,1.0,10000,1
000689.png,0.11071,0.07143,0.02,0.03857,1.0,1.0,10000,1
000690.png,0.11071,0.07143,0.02,0.04143,1.0,1.0,10000,1
000691.png,0.11071,0.07143,0.02,0.04429,1.0,1.0,10000,1
000692.png,0.11071,0.07143,0.02,0.04714,1.0,1.0,10000,1
000693.png,0.11071,0.07143,0.02,0.05,1.0,1.0,10000,0
000694.png,0.11071,0.07143,0.02,0.05286,1.0,1.0,10000,1
000695.png,0.11071,0.07143,0.02,0.05571,1.0,1.0,10000,1
000696.png,0.11071,0.07143,0.02,0.05857,1.0,1.0,10000,0
000697.png,0.11071,0.07143,0.02,0.06143,1.0,1.0,10000,0
000698.png,0.11071,0.07143,0.02,0.06429,1.0,1.0,10000,0
000699.png,0.11071,0.07143,0.02,0.06714,1.0,1.0,10000,0
000700.png,0.11071,0.07143,0.02,0.07,1.0,1.0,10000,0
000701.png,0.11071,0.07143,0.025,0.03,1.0,1.0,10000,1
000702.png,0.11071,0.07143,0.025,0.03286,1.0,1.0,10000,1
000703.png,0.11071,0.07143,0.025,0.03571,1.0,1.0,10000,1
000704.png,0.11071,0.07143,0.025,0.03857,1.0,1.0,10000,1
000705.png,0.11071,0.07143,0.025,0.04143,1.0,1.0,10000,1
000706.png,0.11071,0.07143,0.025,0.04429,1.0,1.0,10000,1
000707.png,0.11071,0.07143,0.025,0.04714,1.0,1.0,10000,1
000708.png,0.11071,0.07143,0.025,0.05,1.0,1.0,10000,1
000709.png,0.11071,0.07143,0.025,0.05286,1.0,1.0,10000,1
000710.png,0.11071,0.07143,0.025,0.05571,1.0,1.0,10000,1
000711.png,0.11071,0.07143,0.025,0.05857,1.0,1.0,10000,0
000712.png,0.11071,0.07143,0.025,0.06143,1.0,1.0,10000,0
000713.png,0.11071,0.07143,0.025,0.06429,1.0,1.0,10000,0
000714.png,0.11071,0.07143,0.025,0.06714,1.0,1.0,10000,0
000715.png,0.11071,0.07143,0.025,0.07,1.0,1.0,10000,0
000716.png,0.11071,0.07143,0.03,0.03286,1.0,1.0,10000,1
000717.png,0.11071,0.07143,0.03,0.03571,1.0,1.0,10000,1
000718.png,0.11071,0.07143,0.03,0.03857,1.0,1.0,10000,1
000719.png,0.11071,0.07143,0.03,0.04143,1.0,1.0,10000,1
000720.png,0.11071,0.07143,0.03,0.04429,1.0,1.0,10000,1
000721.png,0.11071,0.07143,0.03,0.04714,1.0,1.0,10000,1
000722.png,0.11071,0.07143,0.03,0.05,1.0,1.0,10000,1
000723.png,0.11071,0.07143,0.03,0.05286,1.0,1.0,10000,1
000724.png,0.11071,0.07143,0.03,0.05571,1.0,1.0,10000,1
000725.png,0.11071,0.07143,0.03,0.05857,1.0,1.0,10000,1
000726.png,0.11071,0.07143,0.03,0.06143,1.0,1.0,10000,0
000727.png,0.11071,0.07143,0.03,0.06429,1.0,1.0,10000,0
000728.png,0.11071,0.07143,0.03,0.06714,1.0,1.0,10000,0
000729.png,0.11071,0.07143,0.03,0.07,1.0,1.0,10000,0
000730.png,0.11071,0.07143,0.035,0.03571,1.0,1.0,10000,1
000731.png,0.11071,0.07143,0.035,0.03857,1.0,1.0,10000,1
000732.png,0.11071,0.07143,0.035,0.04143,1.0,1.0,10000,1
000733.png,0.11071,0.07143,0.035,0.04429,1.0,1.0,10000,1
000734.png,0.11071,0.07143,0.035,0.04714,1.0,1.0,10000,1
000735.png,0.11071,0.07143,0.035,0.05,1.0,1.0,10000,1
000736.png,0.11071,0.07143,0.035,0.05286,1.0,1.0,10000,1
000737.png,0.11071,0.07143,0.035,0.05571,1.0,1.0,10000,1
000738.png,0.11071,0.07143,0.035,0.05857,1.0,1.0,10000,1
000739.png,0.11071,0.07143,0.035,0.06143,1.0,1.0,10000,0
000740.png,0.11071,0.07143,0.035,0.06429,1.0,1.0,10000,0
000741.png,0.11071,0.07143,0.035,0.06714,1.0,1.0,10000,0
000742.png,0.11071,0.07143,0.035,0.07,1.0,1.0,10000,0
000743.png,0.11071,0.07143,0.04,0.04143,1.0,1.0,10000,1
000744.png,0.11071,0.07143,0.04,0.04429,1.0,1.0,10000,1
000745.png,0.11071,0.07143,0.04,0.04714,1.0,1.0,10000,1
000746.png,0.11071,0.07143,0.04,0.05,1.0,1.0,10000,1
000747.png,0.11071,0.07143,0.04,0.05286,1.0,1.0,10000,1
000748.png,0.11071,0.07143,0.04,0.05571,1.0,1.0,10000,1
000749.png,0.11071,0.07143,0.04,0.05857,1.0,1.0,10000,1
000750.png,0.11071,0.07143,0.04,0.06143,1.0,1.0,10000,1
000751.png,0.11071,0.07143,0.04,0.06429,1.0,1.0,10000,0
000752.png,0.11071,0.07143,0.04,0.06714,1.0,1.0,10000,0
000753.png,0.11071,0.07143,0.04,0.07,1.0,1.0,10000,0
000754.png,0.11071,0.07143,0.045,0.04714,1.0,1.0,10000,1
000755.png,0.11071,0.07143,0.045,0.05,1.0,1.0,10000,1
000756.png,0.11071,0.07143,0.045,0.05286,1.0,1.0,10000,1
000757.png,0.11071,0.07143,0.045,0.05571,1.0,1.0,10000,1
000758.png,0.11071,0.07143,0.045,0.05857,1.0,1.0,10000,1
000759.png,0.11071,0.07143,0.045,0.06143,1.0,1.0,10000,1
000760.png,0.11071,0.07143,0.045,0.06429,1.0,1.0,10000,0
000761.png,0.11071,0.07143,0.045,0.06714,1.0,1.0,10000,0
000762.png,0.11071,0.07143,0.045,0.07,1.0,1.0,10000,0
000763.png,0.11071,0.07143,0.05,0.05,1.0,1.0,10000,1
000764.png,0.11071,0.07143,0.05,0.05286,1.0,1.0,10000,1
000765.png,0.11071,0.07143,0.05,0.05571,1.0,1.0,10000,1
000766.png,0.11071,0.07143,0.05,0.05857,1.0,1.0,10000,1
000767.png,0.11071,0.07143,0.05,0.06143,1.0,1.0,10000,1
000768.png,0.11071,0.07143,0.05,0.06429,1.0,1.0,10000,0
000769.png,0.11071,0.07143,0.05,0.06714,1.0,1.0,10000,0
000770.png,0.11071,0.07143,0.05,0.07,1.0,1.0,10000,0
000771.png,0.11071,0.07143,0.055,0.05571,1.0,1.0,10000,1
000772.png,0.11071,0.07143,0.055,0.05857,1.0,1.0,10000,1
000773.png,0.11071,0.07143,0.055,0.06143,1.0,1.0,10000,1
